city,state,10th,25th,50th,75th,90th,date
Anchorage,AK,56046,64286,73336,83762,93253,"June 26, 2023"
Fairbanks,AK,55814,64020,73033,83415,92868,"June 26, 2023"
Juneau,AK,55547,63713,72683,83016,92423,"June 26, 2023"
Ketchikan,AK,54791,62846,71694,81886,91166,"June 26, 2023"
Palmer,AK,55290,63419,72347,82632,91996,"June 26, 2023"
Sitka,AK,54791,62846,71694,81886,91166,"June 26, 2023"
Wasilla,AK,55290,63419,72347,82632,91996,"June 26, 2023"
Auburn,AL,45477,52163,59507,67966,75668,"June 26, 2023"
Birmingham,AL,47560,54552,62232,71079,79134,"June 26, 2023"
Decatur,AL,46603,53455,60981,69650,77542,"June 26, 2023"
Dothan,AL,43362,49737,56740,64806,72149,"June 26, 2023"
Florence,AL,43455,49844,56862,64945,72304,"June 26, 2023"
Gadsden,AL,47471,54451,62117,70947,78987,"June 26, 2023"
Georgiana,AL,44788,51373,58606,66937,74522,"June 26, 2023"
Huntsville,AL,48190,55275,63056,72021,80182,"June 26, 2023"
Madison,AL,48190,55275,63056,72021,80182,"June 26, 2023"
Mobile,AL,46602,53454,60979,69648,77541,"June 26, 2023"
Montgomery,AL,45191,51835,59133,67539,75193,"June 26, 2023"
Prattville,AL,45191,51835,59133,67539,75193,"June 26, 2023"
Tanner,AL,46797,53678,61235,69940,77865,"June 26, 2023"
Tuscaloosa,AL,47244,54190,61819,70608,78609,"June 26, 2023"
Bentonville,AR,45544,52241,59595,68067,75781,"June 26, 2023"
Conway,AR,46079,52854,60295,68866,76670,"June 26, 2023"
Fayetteville,AR,45907,52657,60070,68610,76384,"June 26, 2023"
Fort Smith,AR,44017,50489,57597,65785,73239,"June 26, 2023"
Jacksonville,AR,46472,53305,60809,69454,77324,"June 26, 2023"
Jonesboro,AR,46345,53159,60643,69264,77113,"June 26, 2023"
Little Rock,AR,46533,53374,60888,69544,77425,"June 26, 2023"
Pine Bluff,AR,45101,51731,59014,67404,75042,"June 26, 2023"
Rogers,AR,45635,52345,59714,68203,75932,"June 26, 2023"
Springdale,AR,45907,52657,60070,68610,76384,"June 26, 2023"
Texarkana,AR,45927,52679,60096,68639,76417,"June 26, 2023"
Avondale,AZ,49645,56944,64961,74196,82603,"June 26, 2023"
Chandler,AZ,49787,57107,65147,74408,82840,"June 26, 2023"
Flagstaff,AZ,47343,54304,61949,70755,78773,"June 26, 2023"
Gilbert,AZ,49787,57107,65147,74408,82840,"June 26, 2023"
Glendale,AZ,49779,57098,65137,74397,82827,"June 26, 2023"
Goodyear,AZ,49477,56751,64741,73945,82324,"June 26, 2023"
Lake Havasu City,AZ,50019,57373,65450,74754,83225,"June 26, 2023"
Mesa,AZ,49787,57107,65147,74408,82840,"June 26, 2023"
Peoria,AZ,49679,56983,65005,74246,82659,"June 26, 2023"
Phoenix,AZ,49779,57098,65137,74397,82827,"June 26, 2023"
Prescott,AZ,46878,53771,61341,70061,78000,"June 26, 2023"
Scottsdale,AZ,49787,57107,65147,74408,82840,"June 26, 2023"
Sierra Vista,AZ,47298,54251,61889,70687,78698,"June 26, 2023"
Sun City,AZ,49578,56867,64873,74095,82492,"June 26, 2023"
Surprise,AZ,49342,56597,64565,73744,82100,"June 26, 2023"
Tempe,AZ,49787,57107,65147,74408,82840,"June 26, 2023"
Tucson,AZ,47801,54829,62549,71441,79536,"June 26, 2023"
Yuma,AZ,51197,58724,66992,76515,85186,"June 26, 2023"
Anaheim,CA,56313,64592,73686,84161,93698,"June 26, 2023"
Antioch,CA,58007,66535,75903,86693,96517,"June 26, 2023"
Apple Valley,CA,53453,61312,69944,79888,88940,"June 26, 2023"
Bakersfield,CA,53969,61904,70620,80659,89799,"June 26, 2023"
,,,,,,,
,,,,,,,
Carlsbad,CA,54078,62029,70762,80821,89980,"June 26, 2023"
Carson,CA,56187,64447,73521,83972,93488,"June 26, 2023"
Chico,CA,51430,58992,67297,76864,85574,"June 26, 2023"
,,,,,,,
Coachella,CA,53494,61359,69998,79949,89008,"June 26, 2023"
Concord,CA,57188,65596,74831,85469,95154,"June 26, 2023"
Corona,CA,54139,62099,70842,80913,90081,"June 26, 2023"
Costa Mesa,CA,56187,64447,73521,83972,93488,"June 26, 2023"
Daly City,CA,62990,72251,82422,94140,104807,"June 26, 2023"
Downey,CA,56311,64590,73683,84158,93694,"June 26, 2023"
El Cajon,CA,54219,62191,70947,81032,90215,"June 26, 2023"
