city,state,10th,25th,50th,75th,90th,date,region
Anchorage,AK,56046.0,64286.0,73336.0,83762.0,93253.0,"June 26, 2023",West
Fairbanks,AK,55814.0,64020.0,73033.0,83415.0,92868.0,"June 26, 2023",West
Juneau,AK,55547.0,63713.0,72683.0,83016.0,92423.0,"June 26, 2023",West
Ketchikan,AK,54791.0,62846.0,71694.0,81886.0,91166.0,"June 26, 2023",West
Palmer,AK,55290.0,63419.0,72347.0,82632.0,91996.0,"June 26, 2023",West
Sitka,AK,54791.0,62846.0,71694.0,81886.0,91166.0,"June 26, 2023",West
Wasilla,AK,55290.0,63419.0,72347.0,82632.0,91996.0,"June 26, 2023",West
Auburn,AL,45477.0,52163.0,59507.0,67966.0,75668.0,"June 26, 2023",Southeast
Birmingham,AL,47560.0,54552.0,62232.0,71079.0,79134.0,"June 26, 2023",Southeast
Decatur,AL,46603.0,53455.0,60981.0,69650.0,77542.0,"June 26, 2023",Southeast
Dothan,AL,43362.0,49737.0,56740.0,64806.0,72149.0,"June 26, 2023",Southeast
Florence,AL,43455.0,49844.0,56862.0,64945.0,72304.0,"June 26, 2023",Southeast
Gadsden,AL,47471.0,54451.0,62117.0,70947.0,78987.0,"June 26, 2023",Southeast
Georgiana,AL,44788.0,51373.0,58606.0,66937.0,74522.0,"June 26, 2023",Southeast
Huntsville,AL,48190.0,55275.0,63056.0,72021.0,80182.0,"June 26, 2023",Southeast
Madison,AL,48190.0,55275.0,63056.0,72021.0,80182.0,"June 26, 2023",Southeast
Mobile,AL,46602.0,53454.0,60979.0,69648.0,77541.0,"June 26, 2023",Southeast
Montgomery,AL,45191.0,51835.0,59133.0,67539.0,75193.0,"June 26, 2023",Southeast
Prattville,AL,45191.0,51835.0,59133.0,67539.0,75193.0,"June 26, 2023",Southeast
Tanner,AL,46797.0,53678.0,61235.0,69940.0,77865.0,"June 26, 2023",Southeast
Tuscaloosa,AL,47244.0,54190.0,61819.0,70608.0,78609.0,"June 26, 2023",Southeast
Bentonville,AR,45544.0,52241.0,59595.0,68067.0,75781.0,"June 26, 2023",Southeast
Conway,AR,46079.0,52854.0,60295.0,68866.0,76670.0,"June 26, 2023",Southeast
Fayetteville,AR,45907.0,52657.0,60070.0,68610.0,76384.0,"June 26, 2023",Southeast
Fort Smith,AR,44017.0,50489.0,57597.0,65785.0,73239.0,"June 26, 2023",Southeast
Jacksonville,AR,46472.0,53305.0,60809.0,69454.0,77324.0,"June 26, 2023",Southeast
Jonesboro,AR,46345.0,53159.0,60643.0,69264.0,77113.0,"June 26, 2023",Southeast
Little Rock,AR,46533.0,53374.0,60888.0,69544.0,77425.0,"June 26, 2023",Southeast
Pine Bluff,AR,45101.0,51731.0,59014.0,67404.0,75042.0,"June 26, 2023",Southeast
